window_id,start_time,end_time,total_packets,total_bytes,avg_packet_size,avg_payload_size,packet_rate,small_packet_ratio,syn_count,ack_count,fin_count,label
265,1698376237.907962,1698376238.407962,186,16653.0,89.53225806451613,17.768817204301076,372.0,0.956989247311828,8,178,0,1
266,1698376238.407962,1698376238.907962,87,6330.0,72.75862068965517,0.0,174.0,1.0,0,87,0,1
275,1698376242.907962,1698376243.407962,9,2242.0,249.11111111111111,178.66666666666666,18.0,0.5555555555555556,5,4,0,1
281,1698376245.907962,1698376246.407962,2,477.0,238.5,168.5,4.0,0.5,1,1,0,1
282,1698376246.407962,1698376246.907962,8,931.0,116.375,44.875,16.0,0.875,1,7,0,1
284,1698376247.407962,1698376247.907962,107,9529.0,89.05607476635514,17.523364485981308,214.0,0.9532710280373832,4,103,0,1
285,1698376247.907962,1698376248.407962,4,691.0,172.75,106.75,8.0,0.75,0,4,0,1
295,1698376252.907962,1698376253.407962,72,6047.0,83.98611111111111,14.541666666666666,144.0,0.9583333333333334,10,62,0,1
296,1698376253.407962,1698376253.907962,53,6914.0,130.45283018867926,61.43396226415094,106.0,0.8490566037735849,8,45,0,1
297,1698376253.907962,1698376254.407962,12,828.0,69.0,0.0,24.0,1.0,0,12,0,1
298,1698376254.407962,1698376254.907962,50,3324.0,66.48,0.0,100.0,1.0,0,50,0,1
299,1698376254.907962,1698376255.407962,28,1908.0,68.14285714285714,0.0,56.0,1.0,0,28,0,1
300,1698376255.407962,1698376255.907962,6,396.0,66.0,0.0,12.0,1.0,0,6,0,1
303,1698376256.907962,1698376257.407962,10,2652.0,265.2,195.2,20.0,0.5,5,5,0,1
304,1698376257.407962,1698376257.907962,14,2378.0,169.85714285714286,102.14285714285714,28.0,0.7857142857142857,3,11,0,1
309,1698376259.907962,1698376260.407962,17,3083.0,181.35294117647058,110.41176470588235,34.0,0.7058823529411765,6,11,0,1
310,1698376260.407962,1698376260.907962,89,7226.0,81.19101123595506,13.707865168539326,178.0,0.9662921348314607,3,86,0,1
311,1698376260.907962,1698376261.407962,16,2670.0,166.875,98.875,32.0,0.75,4,12,0,1
312,1698376261.407962,1698376261.907962,14,960.0,68.57142857142857,0.0,28.0,1.0,0,14,0,1
313,1698376261.907962,1698376262.407962,8,2276.0,284.5,213.5,16.0,0.625,2,6,0,1
322,1698376266.407962,1698376266.907962,55,4577.0,83.21818181818182,16.054545454545455,110.0,0.9636363636363636,8,47,0,1
323,1698376266.907962,1698376267.407962,48,4526.0,94.29166666666667,27.041666666666668,96.0,0.9375,3,45,0,1
324,1698376267.407962,1698376267.907962,9,2644.0,293.77777777777777,224.22222222222223,18.0,0.4444444444444444,4,5,0,1
333,1698376271.907962,1698376272.407962,38,2620.0,68.94736842105263,0.0,76.0,1.0,8,30,0,1
334,1698376272.407962,1698376272.907962,22,1544.0,70.18181818181819,0.0,44.0,1.0,1,21,0,1
335,1698376272.907962,1698376273.407962,51,3942.0,77.29411764705883,9.019607843137255,102.0,0.9803921568627451,1,50,0,1
338,1698376274.407962,1698376274.907962,3,856.0,285.3333333333333,216.66666666666666,6.0,0.3333333333333333,1,2,0,1
339,1698376274.907962,1698376275.407962,41,2714.0,66.1951219512195,0.0,82.0,1.0,1,40,15,1
340,1698376275.407962,1698376275.907962,31,3898.0,125.74193548387096,58.70967741935484,62.0,0.8709677419354839,4,27,7,1
342259,1698547234.907962,1698547235.407962,4,1284.0,321.0,255.0,8.0,0.0,0,4,0,0
342286,1698547248.407962,1698547248.907962,2,612.0,306.0,252.0,4.0,0.0,0,2,0,0
342292,1698547251.407962,1698547251.907962,4,1410.0,352.5,286.5,8.0,0.0,0,4,0,0
342295,1698547252.907962,1698547253.407962,2,884.0,442.0,376.0,4.0,0.0,0,2,0,0
342305,1698547257.907962,1698547258.407962,4,1422.0,355.5,289.5,8.0,0.0,0,4,0,0
342308,1698547259.407962,1698547259.907962,2,702.0,351.0,285.0,4.0,0.0,0,2,0,0
342310,1698547260.407962,1698547260.907962,2,744.0,372.0,306.0,4.0,0.0,0,2,0,0
342312,1698547261.407962,1698547261.907962,2,732.0,366.0,300.0,4.0,0.0,0,2,0,0
342319,1698547264.907962,1698547265.407962,4,1212.0,303.0,237.0,8.0,0.0,0,4,0,0
342322,1698547266.407962,1698547266.907962,2,700.0,350.0,284.0,4.0,0.0,0,2,0,0
342325,1698547267.907962,1698547268.407962,2,686.0,343.0,277.0,4.0,0.0,0,2,0,0
342327,1698547268.907962,1698547269.407962,2,702.0,351.0,285.0,4.0,0.0,0,2,0,0
342330,1698547270.407962,1698547270.907962,2,690.0,345.0,279.0,4.0,0.0,0,2,0,0
342333,1698547271.907962,1698547272.407962,2,452.0,226.0,160.0,4.0,0.0,0,2,0,0
342336,1698547273.407962,1698547273.907962,2,674.0,337.0,271.0,4.0,0.0,0,2,0,0
342339,1698547274.907962,1698547275.407962,2,714.0,357.0,291.0,4.0,0.0,0,2,0,0
342342,1698547276.407962,1698547276.907962,2,654.0,327.0,261.0,4.0,0.0,0,2,0,0
